EventTime,EventType,Event
1.6124832000007672e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1132)
1.6124832000007672e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1133)
1.6124832000007772e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2282)
1.6124832000007772e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2283)
1.6124832000007834e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3152)
1.6124832000007834e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3153)
1.612483200000784e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1462)
1.612483200000784e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1463)
1.6124832000007875e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2792)
1.6124832000007875e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2793)
1.6124832000007987e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2008)
1.6124832000007987e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2009)
1.612483200000807e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1522)
1.612483200000807e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1523)
1.6124832000008077e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1906)
1.6124832000008077e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1907)
1.6124832000008123e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2310)
1.6124832000008123e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2311)
1.6124832000008146e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1658)
1.6124832000008146e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1659)
1.6124832000008248e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2592)
1.6124832000008248e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2593)
1.6124832000008438e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1934)
1.6124832000008438e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1935)
1.6124832000008453e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2960)
1.6124832000008453e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2961)
1.6124832000008573e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2300)
1.6124832000008573e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2301)
1.6124832000008643e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1532)
1.6124832000008643e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1533)
1.612483200000865e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3214)
1.612483200000865e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3215)
1.6124832000008668e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2762)
1.6124832000008668e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2763)
1.6124832000008737e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2198)
1.6124832000008737e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2199)
1.612483200000874e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2634)
1.612483200000874e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2635)
1.6124832000008783e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1600)
1.6124832000008783e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1601)
1.6124832000008788e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3044)
1.6124832000008788e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3045)
1.6124832000008832e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2886)
1.6124832000008832e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2887)
1.612483200000885e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1750)
1.612483200000885e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1751)
1.6124832000008858e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3036)
1.6124832000008858e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3037)
1.6124832000008878e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1586)
1.6124832000008878e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1587)
1.612483200000893e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1940)
1.612483200000893e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1941)
1.6124832000008955e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1790)
1.6124832000008955e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1791)
1.6124832000009009e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2064)
1.6124832000009009e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2065)
1.6124832000009055e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1944)
1.6124832000009055e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1945)
1.612483200000915e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2250)
